Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес,Найближча станція,Відстань до метро
"вул. Ващенка Григорія, 3",3 кімнати,90 м²,13 000 грн,"Дарницький,",Осокорки,"{'lat': 50.3898557, 'lng': 30.6229564}",Осокорки,1.373
"бул. Вацлава Гавела, 6",1 кімната,25 м²,12 000 грн,"Солом'янський,",Берестейська,"{'lat': 50.4474224, 'lng': 30.4213211}",Берестейська,2.382
"вул. Радунська, 11",1 кімната,40 м²,6 400 грн,"Деснянський,",,"{'lat': 50.5303378, 'lng': 30.5988755}",Героїв Дніпра,12.84
"просп. Миколи Бажана, 28В",1 кімната,40 м²,6 500 грн,"Дарницький,",Позняки,"{'lat': 50.3968819, 'lng': 30.6464357}",Харківська,2.186
"вул. Антоновича, 74",2 кімнати,60 м²,56 180 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4261288, 'lng': 30.5140672}",Олімпійська,1.186
"вул. Січових Стрільців, 44А",3 кімнати,84 м²,59 925 грн,"Шевченківський,",Лук'янівська,"{'lat': 50.4570252, 'lng': 30.494237}",Лук'янівська,1.169
"Харківське шосе, 19А",1 кімната,56 м²,6 999 грн,"Дніпровський,",Дарниця,"{'lat': 50.431374, 'lng': 30.6342639}",Дарниця,3.608
"вул. Архітектора Вербицького, 8",1 кімната,35 м²,6 000 грн,"Дарницький,",Харківська,"{'lat': 50.41134, 'lng': 30.650886}",Харківська,1.231
"вул. Дяченко (Бортничі), 20Б",2 кімнати,83 м²,9 500 грн,"Дарницький,",,"{'lat': 50.375263, 'lng': 30.6944309}",Бориспільська,5.271
"бул. Ярослава Гашека, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Дарниця,"{'lat': 50.4379019, 'lng': 30.6342601}",Дарниця,3.198
"бул. Дружби Народів, 14-16",1 кімната,52 м²,22 472 грн,"Печерський,",Дружби народів,"{'lat': 50.41403649999999, 'lng': 30.5394589}",Дружби народів,2.373
вул. Саперне Поле,3 кімнати,127 м²,93 633 грн,"Печерський,",,"{'lat': 50.4189883, 'lng': 30.5296527}",Палац Україна,0.936
"вул. Драгомирова, 11",4 кімнати,130 м²,97 378 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
"вул. Драгомирова, 17",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 14А",1 кімната,55 м²,33 708 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 3",1 кімната,55 м²,22 472 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 19Б",1 кімната,50 м²,33 708 грн,"Печерський,",,"{'lat': 50.4071587, 'lng': 30.5436262}",Дружби народів,2.977
"вул. Драгомирова, 20",3 кімнати,115 м²,63 670 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 20",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 12",2 кімнати,85 м²,37 453 грн,"Печерський,",Дружби народів,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 15Б",2 кімнати,60 м²,29 963 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}",Дружби народів,3.007
"вул. Драгомирова, 7",2 кімнати,90 м²,63 670 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}",Дружби народів,1.98
"вул. Драгомирова, 7",3 кімнати,85 м²,44 944 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}",Дружби народів,1.98
"вул. Драгомирова, 2А",2 кімнати,105 м²,44 944 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}",Дружби народів,2.311
"вул. Драгомирова, 17",2 кімнати,55 м²,33 708 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 7",3 кімнати,87 м²,44 944 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}",Дружби народів,1.98
"вул. Драгомирова, 15Б",2 кімнати,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}",Дружби народів,3.007
"вул. Драгомирова, 15",3 кімнати,140 м²,78 652 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 17",3 кімнати,120 м²,82 397 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 15",2 кімнати,60 м²,35 581 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 12",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4127924, 'lng': 30.5455874}",Дружби народів,1.833
"вул. Драгомирова, 9",5 кімнат,240 м²,119 850 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}",Дружби народів,2.145
"вул. Драгомирова, 3",2 кімнати,50 м²,28 090 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}",Дружби народів,1.822
"вул. Драгомирова, 20",2 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 17",3 кімнати,94 м²,123 595 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}",Дружби народів,3.161
"вул. Драгомирова, 20",2 кімнати,55 м²,37 453 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 20",2 кімнати,90 м²,52 434 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 5",2 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}",Дружби народів,1.868
"вул. Драгомирова, 15",2 кімнати,60 м²,44 944 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 15",3 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 16",2 кімнати,50 м²,24 345 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Драгомирова, 15",3 кімнати,90 м²,44 944 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}",Дружби народів,2.951
"вул. Драгомирова, 5",2 кімнати,50 м²,18 727 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}",Дружби народів,1.868
"вул. Драгомирова, 20",2 кімнати,120 м²,56 180 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}",Дружби народів,2.472
"вул. Драгомирова, 14А",1 кімната,52 м²,37 453 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}",Дружби народів,1.951
"вул. Драгомирова, 16",3 кімнати,85 м²,44 944 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}",Дружби народів,2.089
"вул. Драгомирова, 5",3 кімнати,170 м²,82 397 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}",Дружби народів,1.868
"вул. Кахи Бендукідзе, 2",2 кімнати,76 м²,44 944 грн,"Печерський,",,"{'lat': 50.4110889, 'lng': 30.543127}",Дружби народів,2.604
"вул. Воздвиженська, 50",3 кімнати,100 м²,37 453 грн,"Подільський,",Контрактова площа,"{'lat': 50.4590079, 'lng': 30.5138509}",Поштова площа,2.501
"просп. Голосіївський, 60",2 кімнати,100 м²,37 453 грн,"Голосіївський,",Деміївська,"{'lat': 50.401103, 'lng': 30.5120993}",Голосіївська,0.62
"просп. Науки, 60А",2 кімнати,52 м²,12 000 грн,"Голосіївський,",Деміївська,"{'lat': 50.3805418, 'lng': 30.5330995}",Голосіївська,4.994
"Краснозвездный просп., 12",2 кімнати,60 м²,11 000 грн,"Солом'янський,",Деміївська,"{'lat': 50.4206845, 'lng': 30.4691221}",Вокзальна,5.289
"вул. Микільсько-Слобідська, 3А",2 кімнати,77 м²,23 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.45050500000001, 'lng': 30.5849588}",Лівобережна,1.949
"вул. Ахматової Анни, 14Б",2 кімнати,60 м²,12 000 грн,"Дарницький,",Позняки,"{'lat': 50.4120047, 'lng': 30.6345257}",Позняки,1.843
"вул. Рейтарська, 31/16",2 кімнати,47 м²,20 000 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.45285699999999, 'lng': 30.509195}",Золоті ворота,2.215
"вул. Ломоносова, 54",3 кімнати,110 м²,27 000 грн,"Голосіївський,",Виставковий центр,"{'lat': 50.3851621, 'lng': 30.4628153}",Іподром,1.399
"вул. Антоновича, 164",2 кімнати,56 м²,11 000 грн,"Голосіївський,","Палац ""Україна""","{'lat': 50.4156061, 'lng': 30.5208227}",Либідська,0.669
"вул. Чавдар Єлизавети, 8",2 кімнати,51 м²,14 000 грн,"Дарницький,",,"{'lat': 50.3909393, 'lng': 30.6239352}",Осокорки,1.408
"вул. Ахматової Анни, 31",3 кімнати,110 м²,15 000 грн,"Дарницький,",Позняки,"{'lat': 50.407479, 'lng': 30.627456}",Позняки,1.092
"узвіз Кловський, 12",2 кімнати,45 м²,14 000 грн,"Печерський,",Кловська,"{'lat': 50.439288, 'lng': 30.5377646}",Кловська,0.541
"Ярослава Гашека бульвар, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4379019, 'lng': 30.6342601}",Дарниця,3.198
"вул. Драгомирова, 11",4 кімнати,120 м²,67 416 грн,"Печерський,",,"{'lat': 50.409347, 'lng': 30.5458778}",Дружби народів,2.883
бул. Лесі Українки,3 кімнати,138 м²,26 217 грн,"Печерський,",,"{'lat': 50.4296937, 'lng': 30.5365844}",Печерська,0.714
"вул. Хрещатик, 27",3 кімнати,86 м²,32 000 грн,"Печерський,",Майдан Незалежності,"{'lat': 50.4438398, 'lng': 30.5225885}",Театральна,5.1
"вул. Жилянська, 68",2 кімнати,55 м²,29 963 грн,"Голосіївський,",Олімпійська,"{'lat': 50.436448, 'lng': 30.503023}",Університет,2.235
вул. Олени Теліги,3 кімнати,64 м²,14 000 грн,"Шевченківський,",Дорогожичі,"{'lat': 50.4818322, 'lng': 30.4593629}",Дорогожичі,5.274
"вул. Введенська, 4",4 кімнати,230 м²,112 360 грн,"Подільський,",Контрактова площа,"{'lat': 50.4686657, 'lng': 30.5073191}",Контрактова площа,0.637
