Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Патріса Лумумби, 11",2 кімнати,78 м²,31 835 грн,"Печерський,",Печерська
"вул. Коновальця Євгена, 34",3 кімнати,127 м²,56 180 грн,"Печерський,",
"узвіз Кловський, 7",2 кімнати,150 м²,56 180 грн,"Печерський,",
"вул. Глибочицька, 32а",3 кімнати,144 м²,35 000 грн,"Печерський,",Дружби народів
"вул. Архітектора Городецького, 12",4 кімнати,200 м²,104 869 грн,"Печерський,",
"вул. Михайла Грушевського, 28/2",3 кімнати,80 м²,29 963 грн,"Печерський,",
"вул. Регенераторна, 4",3 кімнати,85 м²,26 217 грн,"Дніпровський,",Дарниця
"вул. Предславинська, 42а",2 кімнати,70 м²,48 689 грн,,
"вул. Тарасівська, 2/1",3 кімнати,85 м²,49 700 грн,"Шевченківський,",Дорогожичі
"узвіз Кудрявський, 3б",2 кімнати,86 м²,44 944 грн,"Подільський,",Золоті ворота
"вул. Івана Мазепи, 12",3 кімнати,85 м²,33 708 грн,"Печерський,",Арсенальна
"вул. Хрещатик, 15",3 кімнати,110 м²,56 180 грн,"Шевченківський,",Хрещатик
"бул. Лесі Українки, 21б",4 кімнати,110 м²,48 689 грн,"Печерський,",Печерська
"вул. Зарічна, 2а",4 кімнати,102 м²,48 689 грн,"Дарницький,",Славутич
"вул. Панаса Мирного, 14",4 кімнати,175 м²,44 944 грн,"Печерський,",
"Липковського вулиця, 16г",3 кімнати,76 м²,29 963 грн,"Солом'янський,",
"вул. Предславинська, 55а",2 кімнати,63 м²,33 708 грн,"Печерський,",
"вул. Микільсько-Слобідська, 1а",3 кімнати,130 м²,26 217 грн,"Дніпровський,",Дніпро
"вул. Саперне Поле, 3",3 кімнати,80 м²,37 453 грн,"Печерський,",
"узвіз Кловський, 7",2 кімнати,155 м²,59 925 грн,"Печерський,",Кловська
"Сверстюка Євгена вулиця, 6е",1 кімната,44 м²,65 000 грн,"Дніпровський,",Осокорки
"вул. Маккейна Джона, 1б",2 кімнати,50 м²,44 944 грн,"Печерський,",
"просп. Оболонський, 23",2 кімнати,60 м²,33 708 грн,"Оболонський,",
"просп. Володимира Івасюка, 8",1 кімната,150 м²,40 000 грн,"Подільський,",
"бул. Дружби Народів, 14-16",3 кімнати,120 м²,36 500 грн,"Печерський,",
"вул. Митрополита Василя Липківського, 16а",4 кімнати,100 м²,31 835 грн,"Солом'янський,",Вокзальна
"вул. Коновальця Євгена, 36в",3 кімнати,141 м²,59 925 грн,"Печерський,",Дружби народів
"узвіз Кловський, 7а",2 кімнати,85 м²,37 453 грн,"Печерський,",
"вул. Саперне Поле, 14/55",2 кімнати,50 м²,29 963 грн,"Печерський,",
"вул. Раїси Окіпної, 18",3 кімнати,120 м²,56 180 грн,"Дніпровський,",
"вул. Ділова, 2д",1 кімната,130 м²,56 180 грн,"Печерський,",
вул. Кудрявська,1 кімната,52 м²,30 000 грн,"Шевченківський,",Тараса Шевченка
"вул. Микільсько-Слобідська, 1",3 кімнати,100 м²,56 180 грн,"Дніпровський,",
"пров. Лабораторний, 6",9 кімнат,95 м²,30 000 грн,"Печерський,",Дружби народів
"вул. Панаса Мирного, 17",4 кімнати,137 м²,56 180 грн,"Печерський,",
"вул. Драгомирова, 15а",3 кімнати,85 м²,82 397 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 51/1а",3 кімнати,80 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Глибочицька, 32в",4 кімнати,121 м²,74 906 грн,"Шевченківський,",
"вул. Саперне Поле, 12",2 кімнати,90 м²,74 906 грн,"Печерський,",
"просп. Академіка Глушкова, 9д",3 кімнати,90 м²,26 217 грн,"Голосіївський,",Теремки
"просп. Оболонський, 26",2 кімнати,65 м²,33 708 грн,"Оболонський,",Мінська
"вул. Патріса Лумумби, 11",2 кімнати,78 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Тарасівська, 23",3 кімнати,85 м²,49 700 грн,"Шевченківський,",
"вул. Регенераторна, 7",3 кімнати,83 м²,31 835 грн,"Дарницький,",
"вул. Преображенська, 57",2 кімнати,50 м²,33 708 грн,"Голосіївський,",
"вул. Ломоносова, 1в",2 кімнати,85 м²,41 198 грн,"Голосіївський,",Голосіївська
"Липковського, 16а",3 кімнати,67 м²,28 090 грн,"Солом'янський,",Вокзальна
"вул. Драгомирова, 15а",4 кімнати,180 м²,1 498 127 грн,"Печерський,",Дружби народів
"просп. Соборності, 30а",5 кімнат,150 м²,44 944 грн,"Дніпровський,",
"вул. Предславинська, 53",3 кімнати,83 м²,63 670 грн,"Печерський,",Дружби народів
"вул. Коновальця Євгена, 32г",4 кімнати,120 м²,33 708 грн,"Печерський,",Дружби народів
"вул. Предславинська, 40",4 кімнати,110 м²,74 906 грн,"Печерський,",
"вул. Предславинська, 42",2 кімнати,50 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Василя Тютюнника, 37/1",2 кімнати,95 м²,33 708 грн,"Печерський,",
"вул. Звіринецька, 59",3 кімнати,116 м²,33 708 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 1/20",2 кімнати,92 м²,56 180 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 15а",4 кімнати,180 м²,149 813 грн,"Печерський,",Дружби народів
"вул. Патріса Лумумби, 11",2 кімнати,64 м²,37 453 грн,"Печерський,",Дружби народів
"вул. Маккейна Джона, 7",2 кімнати,75 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 17в",3 кімнати,115 м²,82 397 грн,"Печерський,",Дружби народів
"вул. Саперне Поле, 3",3 кімнати,75 м²,48 689 грн,"Печерський,",
"вул. Євгена Маланюка, 101",4 кімнати,115 м²,37 453 грн,"Дніпровський,",Лівобережна
"вул. Ковпака, 7",3 кімнати,180 м²,43 071 грн,"Печерський,",Печерська
"вул. Предславинська, 40",4 кімнати,104 м²,63 670 грн,"Печерський,",Либідська
"вул. Драгомирова, 15а",4 кімнати,180 м²,149 813 грн,"Печерський,",
"вул. Саперне Поле, 12",3 кімнати,80 м²,41 198 грн,"Печерський,",Дружби народів
"вул. Золотоворітська, 13",4 кімнати,176 м²,71 161 грн,"Шевченківський,",Золоті ворота
"вул. Болсуновська, 2",2 кімнати,85 м²,54 307 грн,"Дарницький,",Дружби народів
"вул. Драгомирова, 16",5 кімнат,205 м²,112 360 грн,"Печерський,",Дружби народів
"вул. Тверська, 2",4 кімнати,190 м²,44 944 грн,"Голосіївський,",
"узвіз Кловський, 7",3 кімнати,159 м²,52 434 грн,"Печерський,",Кловська
"вул. Зарічна, 16",3 кімнати,125 м²,56 180 грн,"Дарницький,",Славутич
"бул. Тараса Шевченка, 11",3 кімнати,100 м²,56 180 грн,"Шевченківський,",Палац спорту
"вул. Парково-Сирецька , 4б",3 кімнати,152 м²,52 434 грн,"Шевченківський,",Сирець
"вул. Богдана Хмельницького, 58а",3 кімнати,100 м²,63 670 грн,"Шевченківський,",
"вул. Юрія Іллєнка, 18б",2 кімнати,125 м²,37 453 грн,"Шевченківський,",
